 period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2019-04-01,2019-04-30,30,national,11,1400,f," National",National,U.S.,US,Townhouse,13,265772,0.026362280847287423,0.03272649215449297,278252,-0.0021678965798657135,0.026636162442249312,162,0.017324826600320753,0.017203847011835194,168,-0.0021130189503242303,0.011295197327461537,51082,0.1293031805777678,0.017236889846125703,53446,0.1449405822268961,0.017487148481493353,71348,0.071990875965392886,0.052489328046838812,123552,0.04352327847066606,0.15884162245413558,2.4186609576874853,-0.19881923524002509,0.29554844384813661,34,-7,7,0.98798222820110915,0.0018320623603897968,-0.0047894631002406429,0.26370265469485293,0.02282244848861445,-0.040646789149674234,0.1295731395697961,0.010610373709894871,0.020727149666609157,0.47239742778330268,-0.010374198010635216,-0.052535882162034031,,,2023-01-15 14:42:04
2020-03-01,2020-03-31,30,national,11,1400,f," National",National,U.S.,US,Single Units Only,-2,302660,0.030315664684713584,0.065286031883830198,320862,-0.015036335220427133,0.012606535832183852,163,0.020754011337178468,0.05971411691867945,169,-0.023569300505611346,0.026996163872085699,496686,0.25514050299407343,0.043305168138892514,433471,0.17747059040411584,-0.024179907572944304,647792,0.14095506598032759,-0.064366835503996467,1304395,0.043439188581335664,-0.10342853569623545,2.6261937354580076,-0.53282325580933465,-0.42980526275349273,44,-12,-6,0.98606306708347857,0.004798220273501852,0.0048562959961248042,0.25499503847009342,0.037589827701002776,0.040877144520435921,0.11012613547953072,0.0018684535135472941,-0.019661033335362746,0.48175421441244365,0.0077378229476306459,0.023353971672485097,,,2023-01-15 14:42:04
2015-10-01,2015-10-31,30,national,11,1400,f," National",National,U.S.,US,Townhouse,13,217762,0.007742417195335527,0.063318869429160207,223343,-0.019320734543229467,0.06315584035211308,138,-0.0023448611979174361,0.056761760488512003,140,-0.017231560431989035,0.055976415483053765,41545,-0.042565804833425536,0.057164385699622899,34547,-0.0036716539682958294,0.1193997193787697,48659,-0.065232177299749838,0.019542367082812095,144721,-0.028069861155726517,-0.045209443735620636,3.4834637979490468,0.051954449193661212,-0.37350131539878273,47,2,-5,0.97952306600669159,-0.0019787388256409244,0.0038076294146239809,0.21010802530537878,-0.007098475102378432,0.01743863216148081,0.12125931103963832,0.0083797393131827547,0.011764693948874999,0.32294454465404193,-0.0085280885976029563,0.02026378550899044,,,2023-01-15 14:42:04
2022-05-01,2022-05-31,30,national,11,1400,f," National",National,U.S.,US,Condo/Co-op,3,341767,-0.0021310227480459965,0.13376696522764542,349682,0.0075898940431304851,0.12015698136606523,309,0.0068841689777487947,0.15934890342596852,313,0.0034526614013845602,0.13984141597629041,72964,0.029707181002353922,-0.091553033382979598,68909,0.0011182238951485957,-0.10281152682975037,84557,0.0056373133748404136,-0.035346591612371636,118677,0.067086508227914621,-0.08749510818689632,1.6265206353697246,0.056975930817060094,0.0072331656821058576,23,-0,-2,1.0208262539070321,-0.00048082454743036962,0.017099385797535893,0.51976673081412672,-0.00022073698058466817,0.12797936089105466,0.090892780236402224,0.024014458710263184,0.011180730196056671,0.45518307411840808,-0.025006281873648784,-0.04775699247050269,,,2023-01-15 14:42:04
2013-01-01,2013-01-31,30,national,11,1400,f," National",National,U.S.,US,Single Units Only,-2,179855,-0.066044003780882377,0.1266729031027034,198665,0.11081129356249164,0.083285934829930186,100,-0.049309677831880228,0.10757168820913487,109,0.082980457292219478,0.06702039231449608,301383,-0.20442184006746555,0.1276529992130746,220962,0.10406655044387469,0.21780008700804365,473675,0.6497724616125311,0.021614628503994426,1637760,0.0091975589218151743,-0.17988232675836635,5.4341327316559083,1.1502566151710694,-2.0377414553161195,79,3,-18,0.96837173646252961,-0.00072402531707260742,0.011685125756487391,0.2079013905857153,0.0011570299469589318,0.037058260431709095,0.059503096101572131,0.016100528668318521,-0.0059982904150616828,0.33475570809850497,0.067154350075532387,0.067725484845517325,,,2023-01-15 14:42:04
2016-06-01,2016-06-30,30,national,11,1400,f," National",National,U.S.,US,Condo/Co-op,3,223563,0.027318756657602083,0.081257702736607929,237813,0.0079266612826409677,0.093693154811969048,190,0.038156563761423623,0.086882550378313272,200,-0.00615283253454324,0.085291341404392984,74629,0.096595311434438447,0.032785000332031133,59517,-0.015761814862375378,0.010652533932509423,80900,-0.015338213798598677,-0.023134298234373518,198581,-0.0060553334765727218,-0.10214233484190871,2.6608866107905387,-0.27480576719437044,-0.39986999446150229,41,-0,-3,0.9812168178750742,0.001048303144611018,0.0028213310261961944,0.22166801568545039,-0.00085658343962355388,0.012917100725664682,0.10888534113405583,0.0056337644549648291,0.00062641689210456153,0.36694934990907985,-0.027601567981407948,0.030409535117227882,,,2023-01-15 14:42:04
2020-05-01,2020-05-31,30,national,11,1400,f," National",National,U.S.,US,All Residential,-1,298602,-0.016853306928381051,0.00093300820145025831,333357,0.046718539788591418,0.04891400011877467,159,-0.015326386642526169,-0.0016472389964061751,174,0.039169832929276671,0.051180205193079642,421491,-0.032523084694910942,-0.34304373017224965,484959,0.33890396576462911,-0.14591576030632825,634399,0.35024237922443802,-0.23586652313133283,1315730,-0.0024462802233166103,-0.20624571170084249,3.1216078766413151,0.094118229305733436,0.53798735737768455,39,3,2,0.98533580402553611,-0.0025990447414654394,-0.00074775328609977265,0.25674475171434452,-0.026226577340421164,-0.0018824908737186674,0.12051931144233123,0.017631947445131219,-0.030666593496181047,0.4338391248278024,0.065212166629809054,0.0041456812109733066,,,2023-01-15 14:42:04
2012-03-01,2012-03-31,30,national,11,1400,f," National",National,U.S.,US,Townhouse,13,159478,0.042133524800030075,0.021017716906305051,181643,0.046030704657954225,0.038089156481262876,104,0.033796266426350252,0.014383659393292447,117,0.034170974144208666,0.025382810828313396,30355,0.27409246019178957,-0.001596174487559443,23990,0.29915411439559825,0.084349754658099352,48651,0.2119716532039404,-0.11528208782079175,154851,0.014222439520946928,-0.2444447064702463,5.1013018957388674,-1.3070854848370672,-1.6396466111608241,85,-7,-16,0.96544876243975564,0.0028136489950068011,0.0064550150955682284,0.18251682571832481,0.013599638983162743,0.020259270497634319,0.061177583244218639,0.0018165028131108193,-0.022453071068823674,0.38039028662312002,-0.0009354867854105553,0.053758892814748438,,,2023-01-15 14:42:04
2017-08-01,2017-08-31,30,national,11,1400,f," National",National,U.S.,US,Townhouse,13,241367,-0.017641017190853647,0.049799810069123041,246800,-0.0065081226189670494,0.057683970823996455,151,-0.012581566948925427,0.052992344074052733,152,-0.010207297338827637,0.041367225552762177,55503,0.065379998432207431,0.056245374575083718,46508,-0.013327026991759139,0.074616536786718646,58223,-0.01175964731834267,0.045983515669749675,124554,-0.018644316716807774,-0.090693795520738751,2.2440797177192326,-0.19213957246400515,-0.3626316522709403,32,1,-6,0.98869565412278215,-0.0010756993536304993,0.0027679560645974544,0.26711492683604443,-0.010821265990980544,0.02298555513262629,0.09789792351636159,0.0058767795265441125,-0.0030076439018128787,0.3972997968573227,-0.012983216116724761,0.035775267297442459,,,2023-01-15 14:42:04
2017-05-01,2017-05-31,30,national,11,1400,f," National",National,U.S.,US,Single Family Residential,6,277427,0.022293840793513597,0.066320121510949237,299842,0.0033934235495904908,0.062353319838364341,140,0.020861753623596657,0.069791539505017708,146,0.0075380806452416405,0.058454590599906986,483386,0.22951891902815036,0.063733864872733026,436076,0.15926111582219038,0.088161523847814394,622801,0.1131039428704137,0.057682439611540071,1298309,0.041846575010954901,-0.098962945009447578,2.6858608385151319,-0.48381576650364755,-0.48497560427020669,39,-4,-5,0.98703436557080093,0.0017812389827263075,0.0028862133503606557,0.28131363139999377,0.013692093103667646,0.017900758491914692,0.12585068749592876,0.013647356855872442,-0.0027366759523080875,0.43126336767252432,-0.019509722589479139,0.026657237080404406,,,2023-01-15 14:42:04
